$AvgLine,$AvgLineComment,$CountSemicolon,$SumCyclomatic,$SumCyclomaticModified,$AvgCyclomaticModified,$MaxCyclomatic,$CountLineComment,$AvgEssential,$RatioCommentToCode,$SumEssential,$CountStmt,$>Defects
20.0,3.0,220.0,70.0,70.0,2.0,7.0,157.0,1.0,0.35,44.0,287.0,T
94.0,0.0,46.0,22.0,22.0,22.0,22.0,40.0,1.0,0.48,1.0,65.0,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,F
8.0,0.0,14.0,3.0,3.0,1.0,1.0,15.0,1.0,0.48,3.0,17.0,T
10.0,0.0,18.0,6.0,6.0,2.0,2.0,15.0,1.0,0.35,4.0,23.0,F
23.0,1.0,115.0,42.0,42.0,4.0,8.0,55.0,3.0,0.25,36.0,157.0,F
89.0,12.0,16.0,10.0,10.0,10.0,10.0,30.0,1.0,0.61,1.0,25.0,F
14.0,0.0,42.0,12.0,12.0,2.0,4.0,123.0,1.0,1.84,9.0,54.0,F
33.0,2.0,232.0,76.0,62.0,4.0,42.0,45.0,1.0,0.12,23.0,308.0,T
24.0,0.0,108.0,32.0,32.0,4.0,13.0,32.0,1.0,0.18,12.0,140.0,T
54.0,7.0,175.0,64.0,61.0,7.0,23.0,120.0,2.0,0.34,19.0,239.0,T
28.0,6.0,89.0,31.0,31.0,3.0,12.0,82.0,2.0,0.42,19.0,120.0,T
57.0,10.0,901.0,377.0,317.0,6.0,63.0,709.0,4.0,0.34,231.0,1254.0,T
43.0,12.0,166.0,49.0,49.0,4.0,12.0,169.0,2.0,0.58,26.0,215.0,T
93.0,1.0,111.0,37.0,34.0,11.0,26.0,23.0,8.0,0.1,26.0,149.0,F
39.0,6.0,624.0,201.0,188.0,5.0,29.0,381.0,2.0,0.3,102.0,881.0,F
13.0,0.0,4.0,3.0,3.0,1.0,1.0,26.0,1.0,0.96,3.0,7.0,F
40.0,4.0,126.0,47.0,47.0,4.0,9.0,55.0,3.0,0.22,33.0,172.0,T
13.0,1.0,45.0,19.0,19.0,2.0,6.0,25.0,1.0,0.29,15.0,64.0,F
41.0,4.0,479.0,135.0,134.0,5.0,17.0,344.0,3.0,0.36,99.0,612.0,T
36.0,5.0,212.0,82.0,82.0,4.0,21.0,148.0,2.0,0.29,47.0,291.0,T
47.0,0.0,141.0,46.0,46.0,9.0,16.0,81.0,3.0,0.37,15.0,187.0,T
100.0,5.0,194.0,48.0,33.0,6.0,40.0,59.0,4.0,0.19,24.0,242.0,T
4294967289.0,1.0,97.0,45.0,41.0,5.0,13.0,35.0,4.0,0.17,31.0,142.0,F
19.0,1.0,52.0,22.0,22.0,4.0,13.0,52.0,2.0,0.44,13.0,70.0,F
23.0,2.0,144.0,65.0,65.0,4.0,14.0,62.0,2.0,0.17,37.0,205.0,T
52.0,2.0,38.0,10.0,10.0,5.0,9.0,25.0,5.0,0.32,10.0,48.0,F
4294967253.0,2.0,96.0,37.0,37.0,5.0,16.0,61.0,4.0,0.28,34.0,134.0,T
24.0,2.0,46.0,17.0,17.0,3.0,11.0,68.0,2.0,0.54,11.0,61.0,F
23.0,0.0,91.0,31.0,31.0,4.0,12.0,50.0,3.0,0.25,25.0,121.0,F
39.0,3.0,572.0,235.0,235.0,6.0,32.0,357.0,3.0,0.27,126.0,790.0,T
65.0,6.0,357.0,117.0,114.0,9.0,40.0,190.0,5.0,0.25,73.0,416.0,T
65.0,6.0,747.0,347.0,345.0,12.0,72.0,324.0,4.0,0.19,142.0,1063.0,T
39.0,5.0,52.0,15.0,15.0,5.0,13.0,37.0,2.0,0.32,8.0,67.0,T
56.0,15.0,279.0,90.0,90.0,6.0,50.0,293.0,2.0,0.48,35.0,359.0,T
16.0,2.0,39.0,8.0,8.0,2.0,3.0,26.0,1.0,0.32,5.0,47.0,T
18.0,1.0,46.0,13.0,13.0,3.0,8.0,25.0,2.0,0.26,10.0,59.0,T
25.0,3.0,92.0,28.0,28.0,4.0,10.0,137.0,2.0,0.79,18.0,116.0,T
47.0,5.0,382.0,115.0,115.0,6.0,26.0,143.0,3.0,0.2,65.0,483.0,T
45.0,4.0,640.0,187.0,186.0,6.0,27.0,234.0,3.0,0.21,110.0,786.0,T
42.0,7.0,295.0,135.0,130.0,7.0,26.0,287.0,2.0,0.41,56.0,407.0,T
65.0,13.0,1310.0,566.0,564.0,8.0,48.0,1080.0,5.0,0.36,411.0,1862.0,T
10.0,0.0,24.0,7.0,7.0,1.0,2.0,26.0,1.0,0.41,5.0,30.0,F
65.0,7.0,292.0,89.0,89.0,8.0,44.0,127.0,5.0,0.22,63.0,374.0,T
30.0,5.0,65.0,25.0,25.0,4.0,16.0,51.0,2.0,0.34,16.0,87.0,F
24.0,3.0,317.0,85.0,85.0,3.0,11.0,198.0,2.0,0.31,71.0,401.0,T
17.0,1.0,52.0,27.0,27.0,3.0,10.0,36.0,1.0,0.27,8.0,69.0,F
13.0,1.0,26.0,7.0,7.0,2.0,4.0,23.0,1.0,0.38,7.0,32.0,F
16.0,2.0,50.0,14.0,14.0,2.0,5.0,38.0,1.0,0.37,7.0,63.0,T
20.0,6.0,340.0,52.0,52.0,2.0,12.0,773.0,1.0,2.01,33.0,270.0,F
34.0,6.0,129.0,46.0,45.0,5.0,15.0,229.0,2.0,0.8,29.0,175.0,T
40.0,4.0,281.0,108.0,108.0,6.0,20.0,92.0,3.0,0.15,67.0,370.0,T
27.0,3.0,86.0,26.0,26.0,3.0,9.0,107.0,2.0,0.61,23.0,112.0,T
19.0,1.0,196.0,77.0,70.0,3.0,19.0,146.0,2.0,0.36,47.0,270.0,T
37.0,8.0,257.0,141.0,141.0,7.0,56.0,223.0,4.0,0.37,83.0,385.0,F
73.0,6.0,1365.0,567.0,431.0,9.0,135.0,413.0,6.0,0.15,283.0,1938.0,T
36.0,0.0,185.0,67.0,67.0,6.0,30.0,59.0,2.0,0.15,32.0,250.0,T
97.0,19.0,589.0,206.0,183.0,11.0,81.0,380.0,6.0,0.32,104.0,783.0,T
19.0,1.0,494.0,187.0,170.0,3.0,23.0,290.0,1.0,0.29,106.0,675.0,T
17.0,0.0,111.0,32.0,32.0,3.0,6.0,39.0,1.0,0.2,20.0,136.0,F
11.0,0.0,42.0,12.0,12.0,1.0,2.0,51.0,1.0,0.56,9.0,54.0,T
30.0,5.0,389.0,146.0,146.0,4.0,20.0,235.0,2.0,0.28,75.0,535.0,T
45.0,3.0,314.0,133.0,133.0,8.0,36.0,126.0,3.0,0.16,60.0,441.0,T
50.0,7.0,679.0,290.0,212.0,6.0,43.0,580.0,4.0,0.4,173.0,977.0,F
57.0,13.0,823.0,353.0,353.0,8.0,35.0,971.0,4.0,0.58,198.0,1149.0,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,F
29.0,2.0,460.0,163.0,158.0,5.0,61.0,108.0,2.0,0.13,79.0,621.0,F
6.0,0.0,4.0,2.0,2.0,1.0,1.0,18.0,1.0,0.9,2.0,6.0,F
6.0,0.0,7.0,4.0,4.0,1.0,2.0,18.0,1.0,0.69,3.0,10.0,F
6.0,0.0,3.0,1.0,1.0,1.0,1.0,15.0,1.0,0.75,1.0,5.0,F
6.0,0.0,4.0,2.0,2.0,1.0,1.0,15.0,1.0,0.71,2.0,6.0,F
27.0,3.0,414.0,151.0,150.0,4.0,22.0,160.0,2.0,0.19,102.0,545.0,T
54.0,9.0,1488.0,596.0,585.0,8.0,54.0,973.0,4.0,0.32,360.0,2046.0,T
36.0,4.0,159.0,79.0,60.0,5.0,24.0,168.0,3.0,0.45,35.0,233.0,T
49.0,10.0,72.0,19.0,19.0,5.0,13.0,145.0,4.0,0.97,18.0,91.0,F
47.0,12.0,126.0,43.0,43.0,5.0,28.0,176.0,3.0,0.63,29.0,165.0,F
4294967275.0,3.0,75.0,19.0,19.0,3.0,8.0,82.0,1.0,0.33,11.0,90.0,T
111.0,3.0,269.0,97.0,75.0,13.0,79.0,90.0,2.0,0.17,13.0,376.0,T
9.0,0.0,26.0,11.0,11.0,2.0,3.0,38.0,1.0,0.5,7.0,36.0,T
52.0,17.0,92.0,13.0,13.0,3.0,7.0,176.0,2.0,1.26,10.0,105.0,F
49.0,12.0,73.0,25.0,25.0,5.0,15.0,121.0,4.0,0.79,21.0,98.0,T
29.0,4.0,118.0,47.0,47.0,4.0,13.0,108.0,3.0,0.38,33.0,162.0,T
71.0,4.0,80.0,35.0,32.0,11.0,20.0,82.0,9.0,0.44,28.0,116.0,F
48.0,5.0,160.0,58.0,58.0,8.0,25.0,88.0,3.0,0.27,27.0,218.0,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,F
0.0,0.0,7.0,0.0,0.0,0.0,0.0,19.0,0.0,0.9,0.0,7.0,F
0.0,0.0,24.0,0.0,0.0,0.0,0.0,19.0,0.0,0.26,0.0,24.0,F
33.0,3.0,134.0,55.0,49.0,4.0,10.0,73.0,2.0,0.24,30.0,190.0,T
37.0,4.0,453.0,155.0,132.0,5.0,20.0,212.0,2.0,0.26,60.0,610.0,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,T
28.0,2.0,245.0,60.0,53.0,4.0,21.0,84.0,2.0,0.24,28.0,259.0,F
43.0,2.0,202.0,57.0,57.0,6.0,31.0,43.0,3.0,0.13,27.0,255.0,F
47.0,4.0,67.0,13.0,13.0,4.0,7.0,28.0,1.0,0.25,3.0,78.0,F
10.0,0.0,45.0,14.0,14.0,2.0,4.0,21.0,1.0,0.25,11.0,58.0,F
9.0,0.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,2.33,1.0,2.0,F
9.0,0.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,2.11,1.0,2.0,F
232.0,41.0,1453.0,806.0,586.0,31.0,318.0,1203.0,27.0,0.45,526.0,2224.0,F
81.0,23.0,25.0,7.0,7.0,7.0,7.0,28.0,4.0,0.51,4.0,33.0,F
31.0,1.0,185.0,74.0,64.0,6.0,30.0,59.0,4.0,0.19,50.0,256.0,F
26.0,2.0,60.0,31.0,26.0,5.0,18.0,129.0,3.0,0.78,17.0,90.0,F
161.0,10.0,564.0,323.0,227.0,32.0,204.0,116.0,18.0,0.13,127.0,827.0,F
39.0,3.0,744.0,216.0,204.0,5.0,23.0,291.0,2.0,0.21,106.0,945.0,T
38.0,2.0,87.0,39.0,31.0,8.0,23.0,30.0,6.0,0.23,25.0,125.0,F
13.0,1.0,33.0,16.0,15.0,3.0,4.0,21.0,1.0,0.31,11.0,48.0,T
14.0,1.0,35.0,16.0,15.0,3.0,4.0,22.0,1.0,0.32,11.0,50.0,T
47.0,8.0,388.0,131.0,119.0,5.0,27.0,263.0,2.0,0.36,54.0,517.0,T
49.0,10.0,230.0,103.0,100.0,6.0,20.0,353.0,3.0,0.6,54.0,334.0,F
42.0,7.0,497.0,160.0,160.0,5.0,29.0,329.0,3.0,0.35,106.0,649.0,T
24.0,0.0,22.0,9.0,9.0,3.0,4.0,16.0,2.0,0.28,6.0,31.0,F
5.0,0.0,2.0,2.0,2.0,1.0,1.0,15.0,1.0,1.67,2.0,4.0,F
77.0,19.0,97.0,33.0,32.0,8.0,27.0,120.0,7.0,0.58,29.0,131.0,F
128.0,29.0,557.0,231.0,228.0,16.0,125.0,483.0,9.0,0.41,133.0,775.0,T
96.0,23.0,521.0,189.0,187.0,10.0,47.0,454.0,5.0,0.38,92.0,694.0,T
38.0,5.0,362.0,143.0,143.0,6.0,16.0,211.0,3.0,0.31,84.0,518.0,T
47.0,9.0,531.0,185.0,180.0,5.0,26.0,429.0,3.0,0.34,128.0,712.0,F
89.0,22.0,454.0,193.0,191.0,10.0,57.0,541.0,5.0,0.51,110.0,635.0,T
57.0,12.0,57.0,20.0,20.0,7.0,10.0,80.0,5.0,0.67,16.0,77.0,F
200.0,9.0,89.0,26.0,26.0,26.0,26.0,42.0,1.0,0.24,1.0,114.0,T
19.0,0.0,112.0,43.0,43.0,2.0,10.0,56.0,1.0,0.24,23.0,151.0,T
45.0,7.0,1606.0,156.0,148.0,6.0,19.0,259.0,3.0,0.28,99.0,582.0,T
23.0,0.0,422.0,181.0,180.0,3.0,18.0,75.0,2.0,0.08,106.0,575.0,T
9.0,0.0,17.0,7.0,7.0,2.0,3.0,124.0,1.0,2.0,4.0,24.0,F
33.0,5.0,334.0,135.0,135.0,4.0,11.0,213.0,1.0,0.28,50.0,460.0,T
49.0,9.0,537.0,198.0,184.0,6.0,25.0,422.0,3.0,0.39,115.0,724.0,T
85.0,20.0,437.0,167.0,165.0,9.0,59.0,508.0,3.0,0.49,67.0,593.0,T
14.0,2.0,14.0,6.0,6.0,2.0,3.0,41.0,1.0,0.85,3.0,20.0,T
20.0,0.0,29.0,15.0,15.0,4.0,5.0,29.0,3.0,0.41,13.0,44.0,T
88.0,22.0,255.0,64.0,64.0,8.0,34.0,230.0,3.0,0.51,29.0,315.0,T
45.0,5.0,67.0,19.0,19.0,6.0,9.0,47.0,4.0,0.47,13.0,85.0,F
32.0,1.0,296.0,138.0,138.0,8.0,53.0,73.0,1.0,0.14,22.0,428.0,T
10.0,0.0,22.0,8.0,8.0,2.0,3.0,33.0,1.0,0.87,4.0,29.0,F
42.0,0.0,118.0,40.0,24.0,5.0,12.0,33.0,6.0,0.16,33.0,159.0,F
221.0,21.0,210.0,63.0,38.0,13.0,60.0,139.0,16.0,0.37,50.0,270.0,F
54.0,7.0,409.0,140.0,85.0,4.0,75.0,311.0,4.0,0.36,85.0,547.0,F
16.0,1.0,44.0,31.0,31.0,4.0,7.0,44.0,1.0,0.46,11.0,75.0,T
61.0,8.0,201.0,44.0,44.0,6.0,15.0,79.0,4.0,0.24,31.0,244.0,T
36.0,5.0,476.0,100.0,100.0,4.0,15.0,392.0,1.0,0.48,49.0,556.0,T
28.0,3.0,144.0,33.0,33.0,3.0,7.0,62.0,1.0,0.25,19.0,174.0,F
18.0,1.0,136.0,53.0,51.0,3.0,7.0,59.0,2.0,0.23,35.0,191.0,F
24.0,1.0,180.0,72.0,72.0,4.0,11.0,109.0,3.0,0.33,59.0,251.0,T
36.0,5.0,567.0,280.0,270.0,8.0,30.0,1284.0,4.0,1.21,156.0,840.0,T
20.0,2.0,38.0,21.0,12.0,2.0,16.0,43.0,2.0,0.34,13.0,61.0,F
100.0,11.0,134.0,75.0,33.0,11.0,67.0,114.0,11.0,0.54,33.0,209.0,F
118.0,37.0,130.0,38.0,38.0,10.0,29.0,187.0,1.0,0.66,7.0,168.0,T
53.0,1.0,32.0,7.0,7.0,7.0,7.0,33.0,3.0,0.69,3.0,39.0,F
9.0,0.0,17.0,7.0,7.0,2.0,4.0,30.0,1.0,0.88,4.0,23.0,F
65.0,2.0,59.0,26.0,23.0,12.0,25.0,55.0,1.0,0.49,2.0,86.0,F
8.0,0.0,16.0,6.0,6.0,2.0,3.0,30.0,1.0,0.94,4.0,22.0,F
17.0,0.0,11.0,2.0,2.0,2.0,2.0,23.0,1.0,1.44,1.0,13.0,F
42.0,7.0,713.0,223.0,209.0,5.0,27.0,467.0,2.0,0.33,115.0,1026.0,T
50.0,4.0,56.0,14.0,14.0,7.0,12.0,62.0,1.0,0.79,2.0,69.0,F
43.0,4.0,85.0,37.0,39.0,3.0,9.0,67.0,2.0,0.3,29.0,123.0,T
27.0,2.0,768.0,367.0,334.0,5.0,30.0,339.0,2.0,0.23,179.0,1127.0,T
55.0,14.0,449.0,206.0,198.0,6.0,37.0,586.0,4.0,0.52,158.0,655.0,T
25.0,3.0,10.0,5.0,5.0,5.0,5.0,18.0,4.0,0.82,4.0,15.0,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,F
4.0,0.0,16.0,8.0,8.0,1.0,1.0,25.0,1.0,0.57,8.0,24.0,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,F
20.0,1.0,191.0,92.0,92.0,4.0,14.0,72.0,2.0,0.16,53.0,269.0,T
57.0,8.0,454.0,168.0,168.0,6.0,30.0,310.0,3.0,0.33,86.0,619.0,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,T
56.0,13.0,182.0,75.0,74.0,6.0,12.0,245.0,4.0,0.57,54.0,257.0,F
18.0,1.0,45.0,7.0,7.0,2.0,2.0,83.0,1.0,1.38,4.0,52.0,F
12.0,1.0,17.0,6.0,6.0,1.0,1.0,21.0,1.0,0.37,6.0,23.0,F
9.0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.67,1.0,2.0,F
45.0,6.0,214.0,88.0,88.0,6.0,23.0,121.0,2.0,0.28,31.0,300.0,T
39.0,11.0,95.0,10.0,10.0,2.0,6.0,81.0,1.0,0.59,9.0,105.0,F
19.0,0.0,28.0,12.0,12.0,2.0,4.0,25.0,2.0,0.39,11.0,39.0,F
98.0,6.0,42.0,10.0,10.0,10.0,10.0,22.0,10.0,0.31,10.0,51.0,T
35.0,7.0,309.0,122.0,122.0,5.0,18.0,280.0,3.0,0.46,79.0,428.0,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,F
100.0,3.0,144.0,51.0,38.0,13.0,46.0,44.0,8.0,0.16,25.0,196.0,F
42.0,8.0,666.0,205.0,191.0,5.0,29.0,474.0,2.0,0.36,89.0,962.0,T
34.0,3.0,252.0,66.0,61.0,6.0,19.0,129.0,1.0,0.36,21.0,313.0,F
